"IPAddress","Name","Status","ErrorMessage"
"190.167.144.86","86.144.167.190.d.dyn.codetel.net.do","OK",""
"190.167.144.85","85.144.167.190.d.dyn.codetel.net.do","OK",""
"190.167.144.84","84.144.167.190.d.dyn.codetel.net.do","OK",""
"190.167.144.83","83.144.167.190.d.dyn.codetel.net.do","OK",""
"190.167.144.82","82.144.167.190.d.dyn.codetel.net.do","OK",""
